"Vorwahl";"Ortsnetz";"10_oder_11";"Losgr";"Sum_RNB";"Stand"
"036945";"Henneberg";1011;4;60;"07.10.2008"
"036946";"Erbenhausen ThÅr";1011;4;53;"07.10.2008"
"036947";"JÅchsen";1011;4;60;"07.10.2008"
"036948";"Rîmhild";1011;4;56;"07.10.2008"
"036949";"Oberma·feld-Grimmenthal";1011;4;55;"07.10.2008"
"03695";"Bad Salzungen";1011;10;706;"07.10.2008"
"036961";"Bad Liebenstein";11;4;305;"07.10.2008"
"036962";"Vacha";11;4;408;"07.10.2008"
"036963";"Dorndorf Rhîn";1011;4;44;"07.10.2008"
"036964";"Dermbach Rhîn";1011;4;42;"07.10.2008"
"036965";"Stadtlengsfeld";1011;4;56;"07.10.2008"
"036966";"Kaltennordheim";1011;4;53;"07.10.2008"
"036967";"Geisa";1011;4;47;"07.10.2008"
"036968";"Rossdorf Rhîn";1011;4;59;"07.10.2008"
"036969";"Merkers";1011;4;59;"07.10.2008"
"0371";"Chemnitz Sachs";1011;30;5288;"07.10.2008"
"037200";"Wittgensdorf b Chemnitz";1011;4;60;"07.10.2008"
"037202";"Claussnitz b Chemnitz";11;4;365;"07.10.2008"
"037203";"Gersdorf b Chemnitz";1011;4;45;"07.10.2008"
"037204";"Lichtenstein Sachs";11;4;119;"07.10.2008"
"037206";"Frankenberg";11;4;98;"07.10.2008"
"037207";"Hainichen";11;4;180;"07.10.2008"
"037208";"Auerswalde";11;4;214;"07.10.2008"
"037209";"Einsiedel b Chemnitz";11;4;336;"07.10.2008"
"03721";"Meinersdorf";1011;10;584;"07.10.2008"
"03722";"Limbach-Oberfrohna";1011;10;487;"07.10.2008"
"03723";"Hohenstein-Ernstthal";1011;10;515;"07.10.2008"
"03724";"BurgstÑdt";1011;10;540;"07.10.2008"
"03725";"Zschopau";1011;10;575;"07.10.2008"
"03726";"Flîha";1011;10;485;"07.10.2008"
"03727";"Mittweida";1011;10;526;"07.10.2008"
"037291";"Augustusburg";11;4;390;"07.10.2008"
"037292";"Oederan";11;4;347;"07.10.2008"
"037293";"Eppendorf Sachs";11;4;131;"07.10.2008"
"037294";"GrÅnhainichen";1011;4;45;"07.10.2008"
"037295";"Lugau Erzgeb";11;4;336;"07.10.2008"
"037296";"Stollberg Erzgeb";11;4;74;"07.10.2008"
"037297";"Thum Sachs";11;4;181;"07.10.2008"
"037298";"Oelsnitz Erzgeb";11;4;377;"07.10.2008"
"03731";"Freiberg Sachs";1011;10;533;"07.10.2008"
"037320";"Mulda Sachs";1011;4;44;"07.10.2008"
"037321";"Frankenstein Sachs";11;4;297;"07.10.2008"
"037322";"Brand-Erbisdorf";11;4;245;"07.10.2008"
"037323";"Lichtenberg Erzgeb";1011;4;45;"07.10.2008"
"037324";"Reinsberg Sachs";1011;4;44;"07.10.2008"
"037325";"Niederbobritzsch";1011;4;50;"07.10.2008"
"037326";"Frauenstein Sachs";1011;3;39;"07.10.2008"
"037327";"Rechenberg-BienenmÅhle";11;4;370;"07.10.2008"
"037328";"Grossschirma";11;4;173;"07.10.2008"
"037329";"Grosshartmannsdorf";11;4;246;"07.10.2008"
"03733";"Annaberg-Buchholz";1011;10;523;"07.10.2008"
"037341";"Ehrenfriedersdorf";11;4;246;"07.10.2008"
"037342";"Cranzahl";11;4;460;"07.10.2008"
"037343";"Jîhstadt";1011;4;47;"07.10.2008"
"037344";"Crottendorf Sachs";1011;4;48;"07.10.2008"
"037346";"Geyer";1011;4;51;"07.10.2008"
"037347";"BÑrenstein Kr Annaberg";1011;4;55;"07.10.2008"
"037348";"Oberwiesenthal Kurort";11;4;389;"07.10.2008"
"037349";"Scheibenberg";11;4;379;"07.10.2008"
"03735";"Marienberg Sachs";1011;10;696;"07.10.2008"
"037360";"Olbernhau";11;4;324;"07.10.2008"
"037361";"Neuhausen Erzgeb";1011;4;57;"07.10.2008"
"037362";"Seiffen Erzgeb";1011;4;46;"07.10.2008"
"037363";"Zîblitz";1011;4;49;"07.10.2008"
"037364";"Reitzenhain Erzgeb";1011;4;59;"07.10.2008"
"037365";"Sayda";1011;4;45;"07.10.2008"
"037366";"RÅbenau";1011;4;60;"07.10.2008"
"037367";"Lengefeld Erzgeb";11;4;355;"07.10.2008"
"037368";"Deutschneudorf";11;4;370;"07.10.2008"
"037369";"Wolkenstein";11;4;305;"07.10.2008"
"03737";"Rochlitz";1011;10;729;"07.10.2008"
"037381";"Penig";11;4;305;"07.10.2008"
"037382";"Geringswalde";1011;4;55;"07.10.2008"
"037383";"Lunzenau";1011;4;51;"07.10.2008"
"037384";"Wechselburg";11;4;238;"07.10.2008"
"03741";"Plauen";1011;4;545;"07.10.2008"
"037421";"Oelsnitz Vogtl";11;4;336;"07.10.2008"
"037422";"Markneukirchen";11;4;255;"07.10.2008"
"037423";"Adorf Vogtl";11;4;360;"07.10.2008"
"037430";"Eichigt";1011;4;55;"07.10.2008"
"037431";"Mehltheuer Vogtl";1011;3;37;"07.10.2008"
"037432";"Pausa Vogtl";1011;4;58;"07.10.2008"
"037433";"GutenfÅrst";1011;4;60;"07.10.2008"
"037434";"Bobenneukirchen";1011;4;65;"07.10.2008"
"037435";"Reuth b Plauen";1011;4;56;"07.10.2008"
"037436";"Weischlitz";1011;4;47;"07.10.2008"
"037437";"Bad Elster";11;4;183;"07.10.2008"
"037438";"Bad Brambach";1011;4;62;"07.10.2008"
"037439";"Jocketa";1011;4;53;"07.10.2008"
"03744";"Auerbach Vogtl";1011;10;685;"07.10.2008"
"03745";"Falkenstein Vogtl";1011;10;540;"07.10.2008"
"037462";"Rothenkirchen Vogtl";11;4;221;"07.10.2008"
"037463";"Bergen Vogtl";1011;4;53;"07.10.2008"
"037464";"Schîneck Vogtl";1011;4;54;"07.10.2008"
"037465";"Tannenbergsthal Vogtl";11;4;370;"07.10.2008"
"037467";"Klingenthal Sachs";11;4;400;"07.10.2008"
"037468";"Treuen Vogtl";11;4;160;"07.10.2008"
"0375";"Zwickau";1011;30;6569;"07.10.2008"
"037600";"Neumark Sachs";11;4;233;"07.10.2008"
"037601";"MÅlsen Skt Jacob";11;4;368;"07.10.2008"
"037602";"Kirchberg Sachs";11;4;410;"07.10.2008"
"037603";"Wildenfels";11;4;236;"07.10.2008"
"037604";"Mosel";11;4;337;"07.10.2008"
"037605";"Hartenstein Sachs";11;4;307;"07.10.2008"
"037606";"Lengenfeld Vogtl";11;4;399;"07.10.2008"
"037607";"Ebersbrunn Sachs";1011;3;38;"07.10.2008"
"037608";"Waldenburg Sachs";1011;4;46;"07.10.2008"
"037609";"Wolkenburg Mulde";1011;4;63;"07.10.2008"
"03761";"Werdau Sachs";1011;4;291;"07.10.2008"
"03762";"Crimmitschau";1011;4;307;"07.10.2008"
"03763";"Glauchau";1011;10;377;"07.10.2008"
"03764";"Meerane";1011;10;450;"07.10.2008"
"03765";"Reichenbach Vogtl";1011;10;557;"07.10.2008"
"03771";"Aue Sachs";1011;10;578;"07.10.2008"
"03772";"Schneeberg Erzgeb";1011;10;701;"07.10.2008"
"03773";"Johanngeorgenstadt";1011;10;779;"07.10.2008"
"03774";"Schwarzenberg";1011;10;506;"07.10.2008"
"037752";"Eibenstock";11;4;246;"07.10.2008"
"037754";"Zwînitz";11;4;324;"07.10.2008"
"037755";"Schînheide Erzgeb";11;4;316;"07.10.2008"
"037756";"Breitenbrunn Erzgeb";1011;4;51;"07.10.2008"
"037757";"RittersgrÅn";1011;4;55;"07.10.2008"
"0381";"Rostock";1011;30;5590;"07.10.2008"
"038201";"Gelbensande";11;4;297;"07.10.2008"
"038202";"Volkenshagen";1011;4;48;"07.10.2008"
"038203";"Bad Doberan";11;4;231;"07.10.2008"
"038204";"Broderstorf";1011;4;49;"07.10.2008"
"038205";"Tessin b Rostock";1011;4;50;"07.10.2008"
"038206";"Graal-MÅritz Seeheilbad";1011;4;46;"07.10.2008"
"038207";"StÑbelow";11;4;192;"07.10.2008"
"038208";"Kavelstorf";11;4;180;"07.10.2008"
"038209";"Sanitz b Rostock";11;4;184;"07.10.2008"
"03821";"Ribnitz-Damgarten";1011;10;526;"07.10.2008"
"038220";"Wustrow Ostseebad";11;4;197;"07.10.2008"
"038221";"Marlow";1011;4;41;"07.10.2008"
"038222";"Semlow";1011;4;45;"07.10.2008"
"038223";"Saal Vorpom";1011;4;41;"07.10.2008"
"038224";"Gresenhorst";1011;4;45;"07.10.2008"
"038225";"Trinwillershagen";1011;3;40;"07.10.2008"
"038226";"Dierhagen Ostseebad";11;4;327;"07.10.2008"
"038227";"LÅdershagen b Barth";11;4;214;"07.10.2008"
"038228";"Dettmannsdorf-Kîlzow";1011;4;49;"07.10.2008"
"038229";"Bad SÅlze";11;4;192;"07.10.2008"
"038231";"Barth";11;4;272;"07.10.2008"
"038232";"Zingst Ostseebad";1011;4;53;"07.10.2008"
"038233";"Prerow Ostseebad";11;4;244;"07.10.2008"
"038234";"Born a Dar·";1011;3;40;"07.10.2008"
"038292";"Krîpelin";11;4;104;"07.10.2008"
"038293";"KÅhlungsborn Ostseebad";11;4;133;"07.10.2008"
"038294";"Neubukow";1011;4;53;"07.10.2008"
"038295";"Satow b Bad Doberan";1011;4;59;"07.10.2008"
"038296";"Rerik Ostseebad";1011;4;59;"07.10.2008"
"038297";"Moitin";1011;4;48;"07.10.2008"
"038300";"Insel Hiddensee";11;4;337;"07.10.2008"
"038301";"Putbus";11;4;112;"07.10.2008"
"038302";"Sagard";11;4;297;"07.10.2008"
"038303";"Sellin Ostseebad";1011;4;47;"07.10.2008"
"038304";"Garz RÅgen";11;4;164;"07.10.2008"
"038305";"Gingst";11;4;327;"07.10.2008"
"038306";"Samtens";1011;4;53;"07.10.2008"
"038307";"Poseritz";11;4;379;"07.10.2008"
"038308";"Gîhren RÅgen";1011;3;39;"07.10.2008"
"038309";"Trent";1011;4;55;"07.10.2008"
"03831";"Stralsund";1011;10;599;"07.10.2008"
"038320";"Tribsees";11;4;326;"07.10.2008"
"038321";"Martensdorf b Stralsund";11;4;217;"07.10.2008"
"038322";"Richtenberg";11;4;92;"07.10.2008"
"038323";"Prohn";11;4;223;"07.10.2008"
"038324";"Velgast";11;4;328;"07.10.2008"
"038325";"Rolofshagen";1011;4;46;"07.10.2008"
"038326";"Grimmen";11;4;259;"07.10.2008"
"038327";"Elmenhorst Vorpom";11;4;267;"07.10.2008"
"038328";"Miltzow";11;4;357;"07.10.2008"
"038331";"Rakow Vorpom";1011;4;52;"07.10.2008"
"038332";"Gross Bisdorf";1011;4;43;"07.10.2008"
"038333";"Horst b Grimmen";1011;4;47;"07.10.2008"
"038334";"Grammendorf";11;4;350;"07.10.2008"
"03834";"Greifswald";1011;10;386;"07.10.2008"
"038351";"Mesekenhagen";11;4;370;"07.10.2008"
"038352";"Kemnitz b Greifswald";11;4;203;"07.10.2008"
"038353";"GÅtzkow b Greifswald";11;4;217;"07.10.2008"
"038354";"Wusterhusen";1011;4;50;"07.10.2008"
"038355";"ZÅssow";1011;4;56;"07.10.2008"
"038356";"Behrenhoff";1011;4;42;"07.10.2008"
"03836";"Wolgast";1011;10;798;"07.10.2008"
"038370";"Krîslin";1011;4;66;"07.10.2008"
"038371";"Karlshagen";1011;4;55;"07.10.2008"
"038372";"Usedom";1011;4;62;"07.10.2008"
"038373";"Katzow";1011;4;65;"07.10.2008"
"038374";"Lassan b Wolgast";1011;4;62;"07.10.2008"
"038375";"Koserow";1011;4;50;"07.10.2008"
"038376";"Zirchow";1011;4;64;"07.10.2008"
"038377";"Zinnowitz";1011;4;44;"07.10.2008"
"038378";"Heringsdorf Seebad";11;4;271;"07.10.2008"
"038379";"Benz Usedom";1011;4;64;"07.10.2008"
"03838";"Bergen auf RÅgen";1011;10;738;"07.10.2008"
"038391";"Altenkirchen RÅgen";11;4;113;"07.10.2008"
"038392";"Sassnitz";11;4;375;"07.10.2008"
"038393";"Binz Ostseebad";11;4;212;"07.10.2008"
"03841";"Wismar Meckl";1011;10;556;"07.10.2008"
"038422";"Neukloster";1011;4;53;"07.10.2008"
"038423";"Bad Kleinen";11;4;267;"07.10.2008"
"038424";"Bobitz";1011;4;60;"07.10.2008"
"038425";"Kirchdorf Poel";1011;4;58;"07.10.2008"
"038426";"Neuburg-Steinhausen";1011;4;64;"07.10.2008"
"038427";"Blowatz";1011;4;42;"07.10.2008"
"038428";"Hohenkirchen b Wismar";1011;4;63;"07.10.2008"
"038429";"Glasin";1011;4;42;"07.10.2008"
"03843";"GÅstrow";1011;10;622;"07.10.2008"
"03844";"Schwaan";1011;10;833;"07.10.2008"
"038450";"Tarnow b BÅtzow";1011;4;60;"07.10.2008"
"038451";"Hoppenrade b GÅstrow";1011;4;67;"07.10.2008"
"038452";"Lalendorf";1011;4;59;"07.10.2008"
"038453";"Mistorf";1011;4;63;"07.10.2008"
"038454";"Kritzkow";1011;4;59;"07.10.2008"
"038455";"Plaaz";1011;4;63;"07.10.2008"
"038456";"Langhagen b GÅstrow";1011;4;63;"07.10.2008"
"038457";"Krakow am See";1011;4;50;"07.10.2008"
"038458";"Zehna";1011;4;59;"07.10.2008"
"038459";"Laage";1011;4;46;"07.10.2008"
"038461";"BÅtzow";11;4;261;"07.10.2008"
"038462";"Baumgarten Meckl";1011;4;61;"07.10.2008"
"038464";"Bernitt";1011;4;65;"07.10.2008"
"038466";"JÅrgenshagen";1011;4;61;"07.10.2008"
"03847";"Sternberg";1011;10;710;"07.10.2008"
"038481";"Witzin";1011;4;64;"07.10.2008"
"038482";"Warin";1011;4;59;"07.10.2008"
"038483";"BrÅel";1011;4;55;"07.10.2008"
"038484";"Ventschow";1011;4;64;"07.10.2008"
"038485";"Dabel";1011;4;59;"07.10.2008"
"038486";"GustÑvel";1011;4;61;"07.10.2008"
"038488";"Demen";1011;4;62;"07.10.2008"
"0385";"Schwerin Meckl";1011;30;6878;"07.10.2008"
"03860";"Raben Steinfeld";1011;4;266;"07.10.2008"
"03861";"Plate";1011;10;609;"07.10.2008"
"03863";"Crivitz";1011;10;830;"07.10.2008"
"03865";"Holthusen";1011;10;422;"07.10.2008"
"03866";"Cambs";1011;4;332;"07.10.2008"
"03867";"LÅbstorf";1011;10;361;"07.10.2008"
"03868";"Rastow";1011;10;618;"07.10.2008"
"03869";"DÅmmer";1011;10;432;"07.10.2008"
"03871";"Parchim";1011;10;726;"07.10.2008"
"038720";"Grebbin";1011;4;63;"07.10.2008"
"038721";"Ziegendorf";1011;4;65;"07.10.2008"
"038722";"Raduhn";1011;4;64;"07.10.2008"
"038723";"Kladrum";1011;4;64;"07.10.2008"
"038724";"Siggelkow";1011;4;64;"07.10.2008"
"038725";"Gross Godems";1011;4;63;"07.10.2008"
"038726";"Spornitz";1011;4;60;"07.10.2008"
"038727";"Mestlin";1011;4;65;"07.10.2008"
"038728";"DomsÅhl";1011;4;62;"07.10.2008"
"038729";"Marnitz";1011;4;62;"07.10.2008"
"038731";"LÅbz";1011;4;43;"07.10.2008"
"038732";"Gallin b LÅbz";1011;4;64;"07.10.2008"
"038733";"Karbow-VietlÅbbe";1011;4;64;"07.10.2008"
"038735";"Plau am See";1011;4;47;"07.10.2008"
"038736";"Goldberg Meckl";1011;4;53;"07.10.2008"
"038737";"Ganzlin";1011;4;63;"07.10.2008"
"038738";"Karow b LÅbz";1011;4;66;"07.10.2008"
"03874";"Ludwigslust Meckl";1011;10;690;"07.10.2008"
"038750";"Malliss";1011;4;61;"07.10.2008"
"038751";"Picher";1011;4;62;"07.10.2008"
"038752";"Zierzow b Ludwigslust";1011;4;66;"07.10.2008"
"038753";"Wîbbelin";1011;4;63;"07.10.2008"
"038754";"Leussow b Ludwigslust";1011;4;65;"07.10.2008"
"038755";"Eldena";1011;4;59;"07.10.2008"
"038756";"Grabow Meckl";1011;4;47;"07.10.2008"
"038757";"Neustadt-Glewe";1011;4;45;"07.10.2008"
"038758";"Dîmitz";1011;4;52;"07.10.2008"
"038759";"Tewswoos";1011;4;64;"07.10.2008"
"03876";"Perleberg";1011;10;804;"07.10.2008"
"03877";"Wittenberge";1011;10;623;"07.10.2008"
"038780";"Lanz Brandenb";1011;4;58;"07.10.2008"
"038781";"Mellen";1011;4;67;"07.10.2008"
"038782";"Reetz b Perleberg";1011;4;66;"07.10.2008"
"038783";"Dallmin";1011;4;65;"07.10.2008"
"038784";"Kleinow Kr Prignitz";1011;4;65;"07.10.2008"
"038785";"Berge b Perleberg";1011;4;65;"07.10.2008"
"038787";"Glîwen";1011;4;63;"07.10.2008"
"038788";"Gross Warnow";1011;4;66;"07.10.2008"
"038789";"Wolfshagen b Perleberg";1011;4;65;"07.10.2008"
"038791";"Bad Wilsnack";11;4;306;"07.10.2008"
"038792";"Lenzen (Elbe)";1011;4;46;"07.10.2008"
"038793";"Dergenthin";1011;4;67;"07.10.2008"
"038794";"Cumlosen";1011;4;67;"07.10.2008"
"038796";"Viesecke";1011;4;66;"07.10.2008"
"038797";"KarstÑdt Kr Prignitz";1011;4;55;"07.10.2008"
"03881";"GrevesmÅhlen";1011;10;643;"07.10.2008"
"038821";"LÅdersdorf Meckl";1011;4;60;"07.10.2008"
"038822";"Diedrichshagen b GrevesmÅhlen";1011;3;38;"07.10.2008"
"038823";"Selmsdorf";1011;4;56;"07.10.2008"
"038824";"Mallentin";1011;4;41;"07.10.2008"
"038825";"KlÅtz";11;4;370;"07.10.2008"
"038826";"Dassow";1011;4;62;"07.10.2008"
"038827";"Kalkhorst";11;4;320;"07.10.2008"
"038828";"Schînberg Meckl";11;4;460;"07.10.2008"
"03883";"Hagenow";1011;10;786;"07.10.2008"
"038841";"Neuhaus Elbe";1011;4;60;"07.10.2008"
"038842";"LÅttenmark";1011;4;63;"07.10.2008"
"038843";"Bennin";1011;4;64;"07.10.2008"
"038844";"GÅlze";1011;4;62;"07.10.2008"
"038845";"Kaarssen";1011;4;65;"07.10.2008"
"038847";"Boizenburg Elbe";11;4;352;"07.10.2008"
"038848";"Vellahn";1011;4;62;"07.10.2008"
"038850";"Gammelin";1011;4;46;"07.10.2008"
"038851";"Zarrentin Meckl";11;4;440;"07.10.2008"
"038852";"Wittenburg";11;4;380;"07.10.2008"
"038853";"Drînnewitz b Hagenow";1011;4;63;"07.10.2008"
"038854";"Redefin";1011;4;43;"07.10.2008"
"038855";"LÅbtheen";1011;4;57;"07.10.2008"
"038856";"Pritzier b Hagenow";1011;4;55;"07.10.2008"
"038858";"Lassahn";1011;4;64;"07.10.2008"
"038859";"Alt Zachun";1011;3;40;"07.10.2008"
"03886";"Gadebusch";1011;10;667;"07.10.2008"
"038871";"MÅhlen Eichsen";1011;4;55;"07.10.2008"
"038872";"Rehna";1011;4;57;"07.10.2008"
"038873";"Carlow";1011;4;61;"07.10.2008"
"038874";"LÅtzow";1011;4;53;"07.10.2008"
"038875";"Schlagsdorf b Gadebusch";1011;4;61;"07.10.2008"
"038876";"Roggendorf";1011;4;64;"07.10.2008"
"039000";"Beetzendorf";11;4;112;"07.10.2008"
"039001";"Apenburg";11;4;330;"07.10.2008"
"039002";"Oebisfelde";1011;3;39;"07.10.2008"
"039003";"JÅbar";11;4;238;"07.10.2008"
"039004";"Kîckte b Gardelegen";1011;4;45;"07.10.2008"
"039005";"Kusey";11;4;288;"07.10.2008"
"039006";"Miesterhorst";11;4;340;"07.10.2008"
"039007";"Tangeln";11;4;223;"07.10.2008"
"039008";"Kunrau";11;4;82;"07.10.2008"
"039009";"Badel";11;4;214;"07.10.2008"
"03901";"Salzwedel";1011;10;650;"07.10.2008"
"03902";"Diesdorf Altm";1011;10;540;"07.10.2008"
"039030";"Brunau";1011;4;52;"07.10.2008"
"039031";"DÑhre";11;4;238;"07.10.2008"
"039032";"Mahlsdorf b Salzwedel";11;4;224;"07.10.2008"
"039033";"Wallstawe";11;4;278;"07.10.2008"
"039034";"Fleetmark";11;4;152;"07.10.2008"
"039035";"Kuhfelde";11;4;194;"07.10.2008"
"039036";"Binde";1011;3;37;"07.10.2008"
"039037";"Pretzier";11;4;132;"07.10.2008"
"039038";"Henningen";11;4;225;"07.10.2008"
"039039";"Bonese";1011;4;48;"07.10.2008"
"03904";"Haldensleben";1011;10;507;"07.10.2008"
"039050";"Bartensleben";1011;4;50;"07.10.2008"
"039051";"Calvîrde";11;4;257;"07.10.2008"
"039052";"Erxleben b Haldensleben";11;4;163;"07.10.2008"
"039053";"SÅplingen";1011;4;52;"07.10.2008"
"039054";"Flechtingen";1011;4;49;"07.10.2008"
"039055";"Hîrsingen";11;4;202;"07.10.2008"
"039056";"KlÅden";11;4;320;"07.10.2008"
"039057";"RÑtzlingen Sachs-Anh";1011;4;52;"07.10.2008"
"039058";"Uthmîden";1011;4;54;"07.10.2008"
"039059";"Wegenstedt";1011;4;45;"07.10.2008"
"039061";"Weferlingen";1011;4;42;"07.10.2008"
"039062";"Bebertal";11;4;298;"07.10.2008"
"03907";"Gardelegen";1011;10;558;"07.10.2008"
"039080";"Kalbe Milde";1011;4;41;"07.10.2008"
"039081";"Kakerbeck Sachs-Anh";11;4;248;"07.10.2008"
"039082";"Mieste";11;4;132;"07.10.2008"
"039083";"Messdorf";11;4;350;"07.10.2008"
"039084";"Lindstedt";11;4;337;"07.10.2008"
"039085";"Zichtau";11;4;238;"07.10.2008"
"039086";"JÑvenitz";11;4;380;"07.10.2008"
"039087";"Jerchel Altmark";11;4;317;"07.10.2008"
"039088";"Letzlingen";11;4;235;"07.10.2008"
"039089";"Bismark Altmark";1011;4;45;"07.10.2008"
"03909";"Klîtze Altmark";1011;10;579;"07.10.2008"
"0391";"Magdeburg";1011;30;6955;"07.10.2008"
"039200";"Gommern";1011;4;42;"07.10.2008"
"039201";"Wolmirstedt";11;4;328;"07.10.2008"
"039202";"Gross Ammensleben";1011;4;42;"07.10.2008"
"039203";"Barleben";11;4;285;"07.10.2008"
"039204";"Niederndodeleben";11;4;365;"07.10.2008"
"039205";"Langenweddingen";1011;3;40;"07.10.2008"
"039206";"Eichenbarleben";1011;4;53;"07.10.2008"
"039207";"Colbitz";1011;4;62;"07.10.2008"
"039208";"Loitsche";1011;4;47;"07.10.2008"
"039209";"Wanzleben";11;4;345;"07.10.2008"
"03921";"Burg b Magdeburg";1011;10;400;"07.10.2008"
"039221";"Mîckern b Magdeburg";11;4;153;"07.10.2008"
"039222";"Mîser";11;4;295;"07.10.2008"
"039223";"Theessen";11;4;229;"07.10.2008"
"039224";"BÅden";11;4;267;"07.10.2008"
"039225";"Altengrabow";11;4;289;"07.10.2008"
"039226";"Hohenziatz";1011;4;55;"07.10.2008"
"03923";"Zerbst";1011;10;550;"07.10.2008"
"039241";"Leitzkau";1011;4;44;"07.10.2008"
"039242";"Prîdel";11;4;289;"07.10.2008"
"039243";"Nedlitz b Zerbst";11;4;279;"07.10.2008"
"039244";"Steutz";1011;4;43;"07.10.2008"
"039245";"Loburg";1011;4;42;"07.10.2008"
"039246";"Lindau Anh";11;4;279;"07.10.2008"
"039247";"GÅterglÅck";11;4;328;"07.10.2008"
"039248";"Dobritz";11;4;249;"07.10.2008"
"03925";"Stassfurt";1011;10;737;"07.10.2008"
"039262";"GÅsten Anh";11;4;266;"07.10.2008"
"039263";"Unseburg";1011;4;45;"07.10.2008"
"039264";"Kroppenstedt";1011;4;55;"07.10.2008"
"039265";"Lîderburg";11;4;237;"07.10.2008"
"039266";"Fîrderstedt";11;4;208;"07.10.2008"
"039267";"Schneidlingen";11;4;327;"07.10.2008"
"039268";"Egeln";11;4;354;"07.10.2008"
"03928";"Schînebeck Elbe";1011;10;656;"07.10.2008"
"039291";"Calbe Saale";11;4;335;"07.10.2008"
"039292";"Biederitz";1011;3;40;"07.10.2008"
"039293";"Dreileben";1011;4;61;"07.10.2008"
"039294";"Gross Rosenburg";1011;4;62;"07.10.2008"
"039295";"Zuchau";1011;4;65;"07.10.2008"
"039296";"Welsleben";1011;4;65;"07.10.2008"
"039297";"Eickendorf Kr Schînebeck";1011;4;60;"07.10.2008"
"039298";"Barby Elbe";11;4;387;"07.10.2008"
"03931";"Stendal";1011;10;671;"07.10.2008"
"039320";"Schinne";1011;4;55;"07.10.2008"
"039321";"Arneburg";1011;4;54;"07.10.2008"
"039322";"TangermÅnde";11;4;293;"07.10.2008"
"039323";"Schînhausen Elbe";1011;4;59;"07.10.2008"
"039324";"KlÑden b Stendal";11;4;317;"07.10.2008"
"039325";"Vinzelberg";1011;4;63;"07.10.2008"
"039327";"Klietz";1011;4;47;"07.10.2008"
"039328";"Rochau";11;4;360;"07.10.2008"
"039329";"Mîringen";1011;4;48;"07.10.2008"
"03933";"Genthin";1011;10;570;"07.10.2008"
"039341";"Redekin";1011;4;49;"07.10.2008"
"039342";"Gladau";1011;4;58;"07.10.2008"
"039343";"Jerichow";1011;4;46;"07.10.2008"
"039344";"GÅsen";1011;4;48;"07.10.2008"
"039345";"Parchen";1011;4;55;"07.10.2008"
"039346";"Tucheim";1011;4;45;"07.10.2008"
"039347";"Kade";1011;4;57;"07.10.2008"
"039348";"Klitsche";1011;4;51;"07.10.2008"
"039349";"Parey Elbe";11;4;377;"07.10.2008"
"03935";"TangerhÅtte";1011;10;760;"07.10.2008"
"039361";"LÅderitz";1011;4;43;"07.10.2008"
"039362";"Grieben b TangerhÅtte";1011;4;64;"07.10.2008"
"039363";"Angern";1011;4;44;"07.10.2008"
"039364";"Dolle";1011;4;42;"07.10.2008"
"039365";"Bellingen b Stendal";1011;4;56;"07.10.2008"
"039366";"Kehnert";11;4;360;"07.10.2008"
"03937";"Osterburg Altmark";1011;10;763;"07.10.2008"
"039382";"Kamern";1011;4;49;"07.10.2008"
"039383";"Sandau Elbe";1011;4;42;"07.10.2008"
"039384";"Arendsee Altmark";1011;4;46;"07.10.2008"
"039386";"Seehausen Altmark";1011;4;44;"07.10.2008"
"039387";"Havelberg";1011;4;41;"07.10.2008"
"039388";"Goldbeck Altm";1011;4;64;"07.10.2008"
"039389";"Schollene";1011;4;55;"07.10.2008"
"039390";"Iden";1011;4;61;"07.10.2008"
"039391";"LÅckstedt";11;4;370;"07.10.2008"
"039392";"Rînnebeck Sachs-Ahn";1011;4;67;"07.10.2008"
"039393";"Werben Elbe";11;4;317;"07.10.2008"
"039394";"Hohenberg-Krusemark";1011;4;67;"07.10.2008"
"039395";"Wanzer";1011;4;66;"07.10.2008"
"039396";"Neukirchen Altmark";1011;4;56;"07.10.2008"
"039397";"Geestgottberg";1011;4;55;"07.10.2008"
"039398";"Gross Garz";1011;4;59;"07.10.2008"
"039399";"Kleinau";1011;4;65;"07.10.2008"
"039400";"Wefensleben";1011;4;53;"07.10.2008"
"039401";"Neuwegersleben";11;4;238;"07.10.2008"
"039402";"Vîlpke";11;4;357;"07.10.2008"
"039403";"Grîningen Sachs-Ahn";11;4;316;"07.10.2008"
"039404";"Ausleben";1011;3;40;"07.10.2008"
"039405";"Hîtensleben";1011;4;46;"07.10.2008"
"039406";"Harbke";11;4;360;"07.10.2008"
"039407";"Seehausen Bîrde";11;4;197;"07.10.2008"
"039408";"Hadmersleben";11;4;186;"07.10.2008"
"039409";"Eilsleben";11;4;174;"07.10.2008"
"03941";"Halberstadt";1011;10;589;"07.10.2008"
"039421";"Osterwieck";1011;4;45;"07.10.2008"
"039422";"Badersleben";11;4;187;"07.10.2008"
"039423";"Wegeleben";11;4;267;"07.10.2008"
"039424";"Schwanebeck Sachs-Anh";11;4;203;"07.10.2008"
"039425";"Dingelstedt a Huy";1011;4;47;"07.10.2008"
"039426";"Hessen";11;4;277;"07.10.2008"
"039427";"Strîbeck";11;4;258;"07.10.2008"
"039428";"Pabstorf";1011;4;50;"07.10.2008"
"03943";"Wernigerode";1011;10;582;"07.10.2008"
"03944";"Blankenburg Harz";1011;10;566;"07.10.2008"
"039451";"Wasserleben";11;4;237;"07.10.2008"
